xs,position,size,prcnt_finer
1,inner,512,100
1,inner,362,100
1,inner,256,100
1,inner,180,96
1,inner,128,78
1,inner,90,41
1,inner,64,16
1,inner,45,9
1,inner,32,2
1,inner,22.6,1
1,inner,16,0
1,inner,11.3,0
1,inner,8,0
1,middle,512,100
1,middle,362,100
1,middle,256,100
1,middle,180,100
1,middle,128,93
1,middle,90,74
1,middle,64,37
1,middle,45,20
1,middle,32,7
1,middle,22.6,1
1,middle,16,0
1,middle,11.3,0
1,middle,8,0
1,outer,512,100
1,outer,362,100
1,outer,256,100
1,outer,180,90
1,outer,128,67
1,outer,90,43
1,outer,64,26
1,outer,45,7
1,outer,32,1
1,outer,22.6,0
1,outer,16,0
1,outer,11.3,0
1,outer,8,0
2,inner,512,100
2,inner,362,100
2,inner,256,100
2,inner,180,92
2,inner,128,73
2,inner,90,49
2,inner,64,26
2,inner,45,10
2,inner,32,4
2,inner,22.6,0
2,inner,16,0
2,inner,11.3,0
2,inner,8,0
2,middle,512,100
2,middle,362,100
2,middle,256,100
2,middle,180,94
2,middle,128,79
2,middle,90,46
2,middle,64,20
2,middle,45,8
2,middle,32,1
2,middle,22.6,0
2,middle,16,0
2,middle,11.3,0
2,middle,8,0
2,outer,512,100
2,outer,362,95
2,outer,256,92
2,outer,180,83
2,outer,128,54
2,outer,90,35
2,outer,64,17
2,outer,45,9
2,outer,32,5
2,outer,22.6,2
2,outer,16,0
2,outer,11.3,0
2,outer,8,0
3,inner,512,100
3,inner,362,100
3,inner,256,100
3,inner,180,99
3,inner,128,88
3,inner,90,67
3,inner,64,41
3,inner,45,17
3,inner,32,2
3,inner,22.6,0
3,inner,16,0
3,inner,11.3,0
3,inner,8,0
3,middle,512,100
3,middle,362,90
3,middle,256,80
3,middle,180,60
3,middle,128,50
3,middle,90,20
3,middle,64,10
3,middle,45,0
3,middle,32,0
3,middle,22.6,0
3,middle,16,0
3,middle,11.3,0
3,middle,8,0
3,outer,512,100
3,outer,362,95
3,outer,256,92
3,outer,180,83
3,outer,128,54
3,outer,90,35
