FID,ET_ID,Id,xs,position,D50,D84,ET_X,ET_Y
0,0,0,1,inner,0.0000000,0.0000000,722648.424694000044838,4151543.213359999936074
1,1,0,2,outer,0.0000000,0.0000000,722522.483006000053138,4151416.824089999776334
2,2,0,3,inner,0.0000000,0.0000000,722558.997872999985702,4151129.844450000207871
3,3,0,4,outer,0.0000000,0.0000000,722290.747919999994338,4151010.055929999798536
4,4,0,5,inner,0.0000000,0.0000000,722233.352285000029951,4150741.095999999903142
5,5,0,6,outer,0.0000000,0.0000000,721983.339731000014581,4150709.069680000189692
6,6,0,7,inner,0.0000000,0.0000000,721815.283638000022620,4150535.822589999996126
7,7,0,8,outer,0.0000000,0.0000000,721569.237149999942631,4150557.190489999949932
8,8,0,9,inner,0.0000000,0.0000000,721425.449197000009008,4150360.048810000065714
9,9,0,10,outer,0.0000000,0.0000000,721203.732875999994576,4150300.966409999877214
10,10,0,1,middle,0.0000000,0.0000000,722653.047722000046633,4151540.675760000012815
11,11,0,1,outer,0.0000000,0.0000000,722657.670749000040814,4151538.138160000089556
12,12,0,2,middle,0.0000000,0.0000000,722529.184336000005715,4151414.349870000034571
13,13,0,2,inner,0.0000000,0.0000000,722535.885665999958292,4151411.875649999827147
14,14,0,3,middle,0.0000000,0.0000000,722561.264268000028096,4151128.643490000162274
15,15,0,3,outer,0.0000000,0.0000000,722563.530663999961689,4151127.442530000116676
16,16,0,4,middle,0.0000000,0.0000000,722293.346450999961235,4151007.709850000217557
17,17,0,4,inner,0.0000000,0.0000000,722295.944983000052162,4151005.363760000094771
18,18,0,5,middle,0.0000000,0.0000000,722235.827365000033751,4150738.367339999880642
19,19,0,5,outer,0.0000000,0.0000000,722238.302446000045165,4150735.638679999858141
20,20,0,6,middle,0.0000000,0.0000000,721985.699596000020392,4150704.149989999830723
21,21,0,6,inner,0.0000000,0.0000000,721988.059462000033818,4150699.230289999861270
22,22,0,7,middle,0.0000000,0.0000000,721816.488189000054263,4150532.033770000096411
23,23,0,7,outer,0.0000000,0.0000000,721817.692740999977104,4150528.244940000120550
24,24,0,8,middle,0.0000000,0.0000000,721571.800327999982983,4150552.942429999820888
25,25,0,8,inner,0.0000000,0.0000000,721574.363507000030950,4150548.694370000157505
26,26,0,9,middle,0.0000000,0.0000000,721430.365681999945082,4150354.460349999833852
27,27,0,9,outer,0.0000000,0.0000000,721435.282165999989957,4150348.871890000067651
28,28,0,10,middle,0.0000000,0.0000000,721207.503155000042170,4150296.238129999954253
29,29,0,10,inner,0.0000000,0.0000000,721211.273433999973349,4150291.509839999955148
