dep,vel,csi,wsg,dar,redd,site
0.417288,0.273651,0.445767,0.000549,0.000011,1,mrr
0.789224,0.335375,0.558855,0.000909,0.000018,1,mrr
0.747487,0.363549,0.619620,0.000582,0.000011,1,mrr
0.516482,0.254371,0.458562,0.000977,0.000019,1,mrr
0.420672,0.294346,0.483018,0.001553,0.000030,1,mrr
0.595403,0.426451,0.774141,0.001138,0.000022,1,mrr
0.356123,0.246015,0.365072,0.001787,0.000034,1,mrr
0.446455,0.367086,0.623777,0.002227,0.000043,1,mrr
0.388238,0.347428,0.546287,0.002346,0.000045,1,mrr
0.510523,0.380061,0.680822,0.001996,0.000039,1,mrr
0.398628,0.294069,0.467163,0.001823,0.000035,1,mrr
0.389441,0.315360,0.495448,0.002296,0.000044,1,mrr
0.410893,0.381933,0.617860,0.002500,0.000048,1,mrr
0.516947,0.472394,0.826212,0.002328,0.000045,1,mrr
0.437344,0.433883,0.719987,0.002596,0.000050,1,mrr
0.479987,0.393705,0.686802,0.002057,0.000040,1,mrr
0.383983,0.347624,0.542925,0.002418,0.000047,1,mrr
0.341652,0.294774,0.423098,0.003494,0.000067,1,mrr
0.526496,0.427276,0.765850,0.001877,0.000036,1,mrr
0.482063,0.377907,0.663355,0.002335,0.000045,1,mrr
0.324007,0.266655,0.366814,0.003588,0.000069,1,mrr
0.506677,0.562475,0.912887,0.003605,0.000070,1,mrr
0.437648,0.461076,0.755846,0.002333,0.000045,1,mrr
0.424040,0.401587,0.659258,0.003466,0.000067,1,mrr
0.395370,0.342977,0.545401,0.002549,0.000049,1,mrr
0.374868,0.407868,0.621183,0.004106,0.000079,1,mrr
0.404143,0.443954,0.700923,0.004127,0.000080,1,mrr
0.346239,0.435932,0.624949,0.005426,0.000105,1,mrr
0.493229,0.541884,0.886737,0.005405,0.000104,1,mrr
0.434182,0.484959,0.782595,0.004957,0.000096,1,mrr
0.481485,0.407428,0.710863,0.003079,0.000059,1,mrr
0.371486,0.556652,0.773491,0.006346,0.000122,1,mrr
0.455403,0.542249,0.857791,0.002178,0.000042,1,mrr
0.311508,0.503500,0.639184,0.030589,0.000590,1,mrr
0.415601,0.463695,0.737660,0.000874,0.000017,1,mrr
0.518077,0.619503,0.959766,0.002207,0.000043,1,mrr
0.432993,0.407665,0.676595,0.001403,0.000027,1,mrr
0.450251,0.493203,0.806534,0.006142,0.000119,1,mrr
0.697690,0.683420,0.952443,0.001813,0.000035,1,mrr
0.679461,0.553143,0.893217,0.001562,0.000030,1,mrr
0.738445,0.511905,0.828726,0.001355,0.000026,1,mrr
0.689463,0.534666,0.872587,0.002405,0.000046,1,mrr
0.704881,0.594890,0.912951,0.001114,0.000021,1,mrr
